time;codice;risposta
19:41:38.198;G1 X114.703 Y110.061 E32.66779;ok
19:41:38.284;G1 X112.057 Y115.158 E32.83828;ok
19:41:38.368;G1 X111.056 Y116.785 E32.89502;ok
19:41:38.484;G1 X109.538 Y118.679 E32.96707;ok
19:41:38.614;G1 X107.246 Y120.918 E33.06220;ok
19:41:38.688;G1 X105.745 Y122.165 E33.12016;ok
19:41:38.761;G1 X104.113 Y123.238 E33.17813;ok
19:41:38.927;M105;ok T:220.8 /220.0 B:70.2 /70.0 T0:220.8 /220.0 @:35 B@:39
19:41:38.984;G1 X102.326 Y124.142 E33.23762;ok
19:41:39.060;G1 X100.436 Y124.840 E33.29742;ok
19:41:39.065;G1 X96.958 Y125.665 E33.40354;ok
19:41:39.164;G1 X95.255 Y125.940 E33.45476;ok
19:41:39.233;G1 X92.072 Y126.102 E33.54942;ok
19:41:39.302;G1 X87.620 Y126.092 E33.68161;ok
19:41:39.389;G1 X84.267 Y125.945 E33.78125;ok
19:41:39.608;G1 X82.261 Y125.668 E33.84136;ok
19:41:39.662;G1 X80.203 Y125.130 E33.90453;ok
19:41:39.718;G1 X78.216 Y124.342 E33.96800;ok
19:41:39.788;G1 X76.348 Y123.323 E34.03117;ok
19:41:39.857;G1 X74.610 Y122.078 E34.09465;ok
19:41:40.048;M105;ok T:220.7 /220.0 B:70.1 /70.0 T0:220.7 /220.0 @:38 B@:56
19:41:40.112;G1 X72.181 Y119.847 E34.19258;ok
19:41:40.194;G1 X69.034 Y116.357 E34.33213;ok
19:41:40.200;G1 X67.875 Y114.876 E34.38794;ok
19:41:40.299;G1 X66.691 Y113.008 E34.45361;ok
19:41:40.365;G1 X65.859 Y111.462 E34.50575;ok
19:41:40.431;G1 X65.189 Y109.850 E34.55758;ok
19:41:40.498;G1 X64.502 Y107.704 E34.62448;ok
19:41:40.564;G1 X64.103 Y105.783 E34.68274;ok
19:41:40.684;G1 X63.717 Y102.164 E34.79078;ok
19:41:40.741;G1 X63.650 Y100.658 E34.83556;ok
19:41:40.848;G1 X63.714 Y98.324 E34.90487;ok
19:41:40.996;G1 X64.083 Y95.597 E34.98660;ok
19:41:41.108;M105;ok T:220.3 /220.0 B:70.1 /70.0 T0:220.3 /220.0 @:46 B@:47
19:41:41.176;G1 X65.318 Y90.943 E35.12956;ok
19:41:41.248;G1 X66.421 Y88.074 E35.22082;ok
19:41:41.248;G1 X67.302 Y86.297 E35.27970;ok
19:41:41.319;G1 X68.366 Y84.648 E35.33797;ok
19:41:41.389;G1 X70.908 Y81.341 E35.46181;ok
19:41:41.461;G1 X72.194 Y79.971 E35.51760;ok
19:41:41.571;M204 S1000;ok
19:41:41.728;G1 X72.454 Y80.215 F9000.000;ok
19:41:41.728;M204 S500;ok
19:41:41.792;G1 F1800.000;ok
19:41:41.792;G1 X73.920 Y78.958 E35.57494;ok
19:41:41.865;G1 X75.556 Y77.854 E35.63352;ok
19:41:41.920;G1 X78.751 Y76.088 E35.74192;ok
19:41:41.924;G1 X80.447 Y75.350 E35.79686;ok
19:41:41.982;G1 X82.224 Y74.796 E35.85211;ok
19:41:42.057;G1 X83.878 Y74.463 E35.90219;ok
19:41:42.123;G1 X85.556 Y74.294 E35.95228;ok
19:41:42.244;M105;ok T:220.8 /220.0 B:70.1 /70.0 T0:220.8 /220.0 @:40 B@:48
19:41:42.244;G1 X92.460 Y74.272 E36.15729;ok
19:41:42.374;G1 X94.947 Y74.455 E36.23132;ok
19:41:42.374;G1 X97.381 Y74.997 E36.30536;ok
19:41:42.465;G1 X100.606 Y76.131 E36.40685;ok
19:41:42.625;G1 X104.120 Y77.777 E36.52206;ok
19:41:42.727;G1 X105.911 Y78.941 E36.58549;ok
19:41:42.794;G1 X107.543 Y80.319 E36.64892;ok
19:41:42.859;G1 X110.911 Y83.979 E36.79659;ok
19:41:42.998;G1 X111.963 Y85.285 E36.84638;ok
19:41:43.066;G1 X113.116 Y87.095 E36.91011;ok
19:41:43.084;G1 X114.517 Y89.912 E37.00351;ok
19:41:43.168;G1 X115.221 Y91.820 E37.06391;ok
19:41:43.234;G1 X115.695 Y93.809 E37.12461;ok
19:41:43.356;M105;ok T:221.0 /220.0 B:70.0 /70.0 T0:221.0 /220.0 @:37 B@:57
19:41:43.418;G1 X115.948 Y96.290 E37.19865;ok
19:41:43.482;G1 X115.955 Y102.822 E37.39261;ok
19:41:43.487;G1 X115.868 Y104.456 E37.44118;ok
19:41:43.537;G1 X115.626 Y106.074 E37.48975;ok
19:41:43.592;G1 X115.112 Y108.042 E37.55015;ok
